time,BVSP.Open,BVSP.High,BVSP.Low,BVSP.Close,BVSP.Volume,BVSP.Adjusted
2023-12-11,127093,127154,126526,126916,7091900,126916
2023-12-08,126010,127289,125562,127094,10745300,127094
2023-12-07,125623,126581,125566,126010,10505300,126010
2023-12-06,126907,127538,125614,125623,10837300,125623
2023-12-05,126802,127489,126491,126903,11960300,126903
2023-12-04,128183,128183,126643,126803,10270500,126803
2023-12-01,127331,128165,126656,128103,13696500,128103
2023-11-30,126168,127399,126168,127331,19238400,127331
2023-11-29,126541,127388,126018,126101,12417500,126101
2023-11-28,125726,126916,125388,126538,12394200,126538
2023-11-27,125517,125826,124840,125683,11013800,125683
2023-11-24,126553,126553,125341,125542,9613100,125542
2023-11-23,126035,126760,125764,126576,7816400,126576
2023-11-22,125626,126875,125439,126035,14058500,126035
2023-11-21,125957,125957,125060,125607,10793500,125607
2023-11-20,124773,126162,124773,126095,11108500,126095
2023-11-17,124639,125431,124547,125062,15719100,125062
2023-11-16,123165,124737,123165,124576,18355600,124576
2023-11-14,120411,123370,120411,123328,19427900,123328
2023-11-13,120561,120606,119878,120376,11198000,120376
2023-11-10,119036,120823,119036,120636,0,120636
2023-11-09,119180,120257,118446,119012,15568300,119012
2023-11-08,119268,119976,118464,119099,15193500,119099
2023-11-07,118422,119577,118026,119268,16393100,119268
2023-11-06,118160,118758,118045,118487,10167700,118487
2023-11-03,115062,118502,115062,118160,15714000,118160
2023-11-01,113157,115433,113157,115053,13904100,115053
2023-10-31,112534,113597,112098,113144,10557400,113144
2023-10-30,113303,114204,112309,112532,9741800,112532
2023-10-27,114777,115342,112953,113301,12289500,113301
2023-10-26,112840,114886,112840,114777,12770600,114777
2023-10-25,113762,114319,112680,112830,12306500,112830
2023-10-24,112814,114249,112814,113762,10711800,113762
2023-10-23,113145,113680,112164,112785,10701800,112785
2023-10-20,113996,114090,112533,113155,11739200,113155
2023-10-19,114059,115063,113768,114004,11497600,114004
2023-10-18,115907,115907,113952,114060,15492200,114060
2023-10-17,116526,116917,115564,115908,10371700,115908
2023-10-16,115760,116905,115760,116534,8989900,116534
2023-10-13,117050,117070,115658,115754,10609300,115754
2023-10-11,116737,117099,116231,117051,9949800,117051
2023-10-10,115158,116900,115158,116737,11621500,116737
2023-10-09,114169,115219,113448,115156,9474400,115156
2023-10-06,113283,114491,111599,114170,13138200,114170
2023-10-05,113609,114359,112705,113284,9507200,113284
2023-10-04,113430,114075,113036,113607,10813800,113607
2023-10-03,115055,115056,113151,113419,11104800,113419
2023-10-02,116565,116672,114761,115057,8524900,115057
2023-09-29,115742,116899,115742,116565,11143200,116565
2023-09-28,114875,115954,114811,115731,10387000,115731
2023-09-27,114194,115340,113366,114327,13359300,114327
2023-09-26,115922,115922,114162,114193,11241800,114193
2023-09-25,116009,116031,115573,115925,9580000,115925
2023-09-22,116147,116968,115855,116009,9443500,116009
2023-09-21,118695,118695,116013,116145,12685800,116145
2023-09-20,117864,119616,117847,118695,9238800,118695
2023-09-19,118293,118458,117628,117846,11453800,117846
2023-09-18,118759,119486,118123,118288,11273100,118288
2023-09-15,119393,119780,118666,118758,16107600,118758
2023-09-14,118181,119748,118181,119392,13279300,119392
2023-09-13,117968,119318,117722,118176,12075300,118176
2023-09-12,116885,118154,116885,117968,9192800,117968
2023-09-11,115316,117131,115316,116883,8789000,116883
2023-09-08,115979,115979,114839,115313,8360700,115313
2023-09-06,117331,117971,115984,115985,9916100,115985
2023-09-05,117776,117957,116637,117331,10870700,117331
2023-09-04,117893,118576,117590,117777,5529700,117777
2023-09-01,115744,117991,115744,117893,11890700,117893
2023-08-31,117537,117637,115742,115742,12950000,115742
2023-08-30,118404,118841,117471,117535,8924000,117535
2023-08-29,117124,118493,117124,118404,9631600,118404
2023-08-28,115838,117253,115836,117121,9596900,117121
2023-08-25,117025,117252,115397,115837,9214100,115837
2023-08-24,118135,118136,116848,117026,9196200,117026
2023-08-23,116160,118135,116159,118135,11542800,118135
2023-08-22,114433,116286,114433,116156,9828500,116156
2023-08-21,115404,115425,114067,114429,9794400,114429
2023-08-18,114973,115729,114423,115409,10601000,115409
2023-08-17,115592,116610,114859,114982,12747500,114982
2023-08-16,116171,117338,115534,115592,18862600,115592
2023-08-15,116809,117697,116033,116171,14636000,116171
2023-08-14,118067,118082,116530,116810,11203500,116810
2023-08-11,118350,119054,117415,118065,11867500,118065
2023-08-10,118412,119438,118113,118350,12689600,118350
2023-08-09,119090,119090,117901,118409,11245600,118409
2023-08-08,119378,119553,117492,119090,10246000,119090
2023-08-07,119509,120104,118894,119380,8726500,119380
2023-08-04,120586,121442,119215,119508,15065200,119508
2023-08-03,120859,122619,120365,120586,13027300,120586
2023-08-02,121249,121252,119798,120859,10565900,120859
2023-08-01,121945,121945,120154,121248,10302800,121248
2023-07-31,120188,122149,120188,121943,10122700,121943
2023-07-28,120002,120660,119706,120187,8464200,120187
2023-07-27,122560,122599,119825,119990,10678700,119990
2023-07-26,122003,122747,121370,122560,9988800,122560
2023-07-25,121344,123010,121344,122008,11427100,122008
2023-07-24,120220,121772,120099,121342,10494800,121342
2023-07-21,118090,120373,118086,120217,11181500,120217
2023-07-20,117558,118290,117484,118083,8986400,118083
2023-07-19,117842,118011,116660,117552,9728700,117552
2023-07-18,118218,118732,117324,117841,8584800,117841
2023-07-17,117711,118302,116591,118219,8201900,118219
2023-07-14,119268,119329,117526,117711,8980000,117711
2023-07-13,117671,119739,117668,119264,9257600,119264
2023-07-12,117557,119156,117557,117666,8941200,117666
2023-07-11,117942,117942,115704,117220,10592500,117220
2023-07-10,118897,118897,117814,117942,8104000,117942
2023-07-07,117427,119549,117427,118898,10521000,118898
2023-07-06,119548,119548,117096,117426,11025700,117426
2023-07-05,119072,120200,118688,119549,10959000,119549
2023-07-04,119673,119678,118830,119076,6555200,119076
2023-07-03,118092,119877,118092,119673,8907500,119673
2023-06-30,118388,119447,118087,118087,13824700,118087
2023-06-29,116683,118623,116683,118383,11055300,118383
2023-06-28,117524,117937,116560,116681,10646300,116681
2023-06-27,118246,119212,116561,117523,13077000,117523
2023-06-26,118977,119148,117491,118243,10456600,118243
2023-06-23,118959,119386,118178,118977,12845400,118977
2023-06-22,120420,120420,118018,118934,11831500,118934
2023-06-21,119623,120519,119332,120420,11736700,120420
2023-06-20,119858,119858,118416,119622,10924200,119622
2023-06-19,118757,119939,118558,119858,6776300,119858
2023-06-16,119208,119555,118487,118758,15251700,118758
2023-06-15,119068,119686,118693,119221,12298000,119221
2023-06-14,116753,119085,116745,119069,16938600,119069
2023-06-13,117337,117924,116363,116743,12392200,116743
2023-06-12,117022,117735,116704,117336,12016200,117336
